영업상태명,지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,,팀204,그 밖의 대규모점포,201096.6813,451715.8304
영업/정상,,통일상가,그 밖의 대규모점포,200541.6377,451814.4595
영업/정상,서울특별시 중구 충무로4가 120번지 3   호,진양상가,그 밖의 대규모점포,199571.5995,451124.8514
영업/정상,,상제리제상가,그 밖의 대규모점포,198744.4332,451677.0651
영업/정상,서울특별시 중구 신당동 776호,(주)에리어식스,그 밖의 대규모점포,200989.6866,451762.2615
영업/정상,서울특별시 중구 흥인동 3번지 4호,우일타운,전문점,201390.6235,451682.9244
영업/정상,서울특별시 중구 을지로4가 9번지 6호,대림상가,그 밖의 대규모점포,199534.3297,451608.2229
영업/정상,,방산종합시장,그 밖의 대규모점포,200002.9527,451823.5325
영업/정상,서울특별시 중구 신당1동 773번지,맥스타일,전문점,200863.5941,451837.4816
휴업,서울특별시 은평구 진관외동 424번지 1호   ,진관시장,그 밖의 대규모점포,,
영업/정상,,아트프라자,그 밖의 대규모점포,201070.9794,451874.6375
영업/정상,,남산타운5상가,그 밖의 대규모점포,200984.7137,449703.2398
영업/정상,,남산타운2상가,그 밖의 대규모점포,200984.7137,449703.2398
영업/정상,,현대시티타워,쇼핑센터,,
영업/정상,,하이해리엇,그 밖의 대규모점포,198636.2504,451005.7216
영업/정상,서울특별시 중구 신당1동 213번지 8호,올레오,쇼핑센터,201040.3526,451852.1426
영업/정상,서울특별시 중구 을지로6가 17번지,통일상가,그 밖의 대규모점포,200613.5103,451817.5154
영업/정상,,제일평화시장,그 밖의 대규모점포,200938.5281,451798.0031
영업/정상,서울특별시 중구 봉래동2가 122번지 11호,롯데아울렛 서울역점,쇼핑센터,197230.2061,450446.6844
영업/정상,서울특별시 중구 봉래동2가 120번지 11호,롯데아울렛 서울역점,쇼핑센터,197364.6268,450397.3696
영업/정상,,(주)지에스리테일 남산타운점,그 밖의 대규모점포,200984.7137,449703.2398
