매장명,지역,브랜드명
이천창전점,"경기 이천시 영창로173번길 1, B동",투썸플레이스
인천완정점,인천광역시 서구 청마로19번길 20 (당하동) 1층,투썸플레이스
송도지식정보단지역점,인천 연수구 인천타워대로54번길 3,투썸플레이스
야탑NC점,"경기도 성남시 분당구 야탑로75번길 9 (야탑동, 금호프라자) 102호",투썸플레이스
노원하계1동점,"서울특별시 노원구 노원로 238 (하계동) 1층 4호,5호",투썸플레이스
대전관평하이츠점,대전 유성구 관평동 1354번지 ,투썸플레이스
마포역점,서울 마포구 마포대로 44,투썸플레이스
판교파미어스몰점,경기 성남시 수정구 시흥동 288-2,투썸플레이스
원주단계봉화산점,강원도 원주시 서원대로 54 (단계동) 1~2층,투썸플레이스
수원고등점,경기 수원시 팔달구 고등동 141-17 코압빌딩 1층,투썸플레이스
강동길동역점,"서울특별시 강동구 양재대로 1461 (길동, SCMEDITOWER) 1층",투썸플레이스
여수성산공원점,"전라남도 여수시 성산로 42 (화장동) 1,2층",투썸플레이스
사당역로데오점,서울 서초구 방배동 450-25,투썸플레이스
연신내엘피스점,"서울특별시 은평구 통일로 829 (대조동, 연신엘피스) 1, 2층",투썸플레이스
등촌역점," 서울특별시 강서구 공항대로 519 (등촌동,신성빌딩) 1층",투썸플레이스
천안안서점,"충청남도 천안시 동남구 망향로 195 (안서동,유니온빌딩) 1층 투썸플레이스",투썸플레이스
안양엔터식스점,"경기도 안양시 만안구 만안로 244, 엔터식스 2층(안양동)",투썸플레이스
대전대동오거리점,대전 동구 계족로 156,투썸플레이스
구리인창점,"경기도 구리시 건원대로 67 (인창동, 한진빌딩) 1층 투썸플레이스",투썸플레이스
광양덕례점,전라남도 광양시 광양읍 인덕로 922 (덕례리 340-2),투썸플레이스
송도동북아무역센터점,"인천광역시 연수구 컨벤시아대로 165 (송도동,포스코타워-송도) 1층",투썸플레이스
홍제삼거리점,"서울특별시 서대문구 통일로 397 (홍제동, 인왕산 한신휴플러스) B403~B408호",투썸플레이스
천안목천점,충남 천안시 동남구 목천읍 신계리 342-4,투썸플레이스
일산백마점,경기도 고양시 일산동구 일산로 200 (마두동) 1층,투썸플레이스
구로역점,"서울특별시 구로구 새말로 19 (구로동, 정윤빌딩) 1층",투썸플레이스
인천독정이삼거리점,인천광역시 미추홀구 독정이로 3 (용현동) 용현동 490-136,투썸플레이스
강서등촌3동점,"서울특별시 강서구 공항대로41길 34 (등촌동, 플러스존) 102호",투썸플레이스
미사역점,"경기도 하남시 미사강변남로 99 (망월동, 더오페라2) 1층 120호-125호",투썸플레이스
순천신대점,전라남도 순천시 해룡면 신대3길 2 (신대리) 1층,투썸플레이스
기장일광해변점,부산 기장군 일광면 기장해안로 1290,투썸플레이스
인천가좌점,인천 서구 건지로 375,투썸플레이스
부산동래래미안점,부산광역시 동래구 금강로8번길84(온천동) 1층 부산시 동래구 온천동 1402-3,투썸플레이스
금정디싸이트점,경기 군포시 금정동 726-1,투썸플레이스
방배이수점,서울 서초구 방배동 1545,투썸플레이스
보령시청점,충남 보령시 명천동 1211,투썸플레이스
구미인동점,경상북도 구미시 인동가산로 24 (진평동) 1~2층,투썸플레이스
대전대흥센텀시티점,대전 중구 대흥동 219-1번지 센텀시티 110호~112호,투썸플레이스
수원연무점,경기도 수원시 장안구 창룡대로 175 (연무동) 1층,투썸플레이스
포항영일대점,경상북도 포항시 북구 해안로 93 (두호동),투썸플레이스
대구동천점,대구광역시 북구 동천로 133 (동천동) 대성시티프라자 203호,투썸플레이스
고양향동점,경기도 고양시 덕양구 꽃내음1길 180 (향동동) ,투썸플레이스
의정부낙양점,경기도 의정부시 민락로 388 (낙양동) 삼도플라자 101호,투썸플레이스
이수역사거리점,"서울특별시 서초구 서초대로 2 (방배동, 이수파이브) 1, 2층",투썸플레이스
영주풍기소백로점,경북 영주시 풍기읍 동부리 191-1,투썸플레이스
인천석바위시장역점,인천 남구 주안동 1542-7,투썸플레이스
진천혁신도시점,"충북 진천군 덕산면 두촌리 2464, G-place 진천2 101호~105호",투썸플레이스
춘천강원대학교병원점,"강원도 춘천시 백령로 156 (효자동, 강원대학교병원) 본관1층",투썸플레이스
광명중앙대병원점,경기도 광명시 일직동 501-4 광명역엠클러스터 B131,투썸플레이스
광주계림스테이션점,광주광역시 동구 무등로 405 (계림동) 1층,투썸플레이스
춘천한림대점,강원 춘천시 교동 156-3 1층,투썸플레이스
아산탕정신도시점,충청남도 아산시 탕정면 매곡한들10길 6 1층 투썸플레이스,투썸플레이스
천안신불당SK점,충남 천안시 서북구 불당 19로 92,투썸플레이스
부산주례역점,부산 사상구 가야대로 300-0(주례동),투썸플레이스
대전가수원대로DT점,대전 서구 가수원동 186-4,투썸플레이스
별내청학점,"경기도 남양주시 별내면 청학로54번길 81 (좋은집) 1층,2층",투썸플레이스
일산문촌점,"경기도 고양시 일산서구 중앙로 1456 (주엽동, 서현프라자) 101호",투썸플레이스
