지역,매장명,브랜드명
인천광역시 미추홀구 인하로 348 (주안동) 메가커피 ,인천관교한신점,메가커피
인천광역시 미추홀구 숙골로 90,도화점,메가커피
인천광역시 미추홀구 주승로 246,인천승학초점,메가커피
"인천광역시 미추홀구 석정로 306, 108호(도화동, 삼원상가) ",인천대화초점,메가커피
경기도 안산시 단원구 신길로 10-1 ,안산신길점,메가커피
인천광역시 남동구 소래역로 36 108호(논현동) ,소래포구역점,메가커피
인천광역시 미추홀구 주안서로 18 . ,주안힐탑플러스점,메가커피
인천광역시 미추홀구 경인로 363-1 1층 ,인천시민공원역점,메가커피
경기도 화성시 꽃내음1길 25 (새솔동) 메가커피 ,송산그린시티점,메가커피
경기도 시흥시 도일로124번길 3 메가커피(시흥거모점) ,시흥거모점,메가커피
인천광역시 남동구 포구로 63,인천논현소래점,메가커피
인천광역시 미추홀구 주안로 92 (주안동) 메가커피 ,주안점,메가커피
경기도 안산시 단원구 원곡로 49 (원곡동) 메가커피 ,안산다문화점,메가커피
"인천광역시 남동구 예술로 126 1층 105호(구월동, 링크126) ",구월로데오점,메가커피
"인천광역시 미추홀구 경원대로 774, 1층 105호(주안동) ",주안승기사거리점,메가커피
인천광역시 미추홀구 길파로 15 1층(주안동) ,주안북부역점,메가커피
인천광역시 남동구 인주대로 539,인천구월점,메가커피
경기도 안산시 단원구 원포공원1로 30 ,안산초지중앙점,메가커피
인천광역시 남동구 남촌동로 26 (남촌동) 메가커피 ,인천남촌점,메가커피
인천광역시 미추홀구 경원대로 855 메가커피(석바위시장점) ,석바위시장점,메가커피
"인천광역시 남동구 논고개로 331 1층 일부호 (도림동, 도림상가) ",인천도림점,메가커피
인천광역시 미추홀구 석정로 438,주안센트레빌점,메가커피
인천광역시 남동구 선수촌공원로 25 1층102호(구우러동구월신세계프라자) ,구월아시아드점,메가커피
경기도 안산시 상록구 해양1로 199 (사동) 메가커피 ,안산그랑시티자이점,메가커피
인천광역시 남동구 예술로192번길 31 101호(구월동대건빌딩) ,인천예술회관역점,메가커피
인천광역시 남동구 남동대로 728,인천구월중앙점,메가커피
인천광역시 남동구 구월로 80 (간석동) 메가커피 ,인천시청역점,메가커피
경기도 안산시 단원구 원초로 33 (원곡동) 메가커피 ,안산원곡점,메가커피
경기도 안산시 단원구 초지동 729-1 메가커피 ,안산초지점,메가커피
경기도 시흥시 황고개로 526,시흥장현점,메가커피
