지역,매장명,브랜드명
서울특별시 강동구 동남로 892 강동경희대학교병원,강동경희대병원점,엔제리너스
서울특별시 노원구 동일 1660,롯데시네파주운정TO점,엔제리너스
경기도 구리시 경춘로 261 롯데백화점 구리점,롯데백구리식당가점,엔제리너스
경기도 구리시 동구릉로136번길 57 구리유통종합상가,롯데아울렛구리점,엔제리너스
경기도 하남시 신장로 126 동부신협빌딩,하남신장사거리점,엔제리너스
세종특별자치시 조치원읍 행복11길  3 ,조치원점,엔제리너스
경기도 의정부시 천보로 44,롯데아울렛의정부점,엔제리너스
충청북도 청주시 흥덕구 옥산면 경부고속도로 318 ,청주휴게소점,엔제리너스
세종특별자치시   한누리대로 2147,세종시청점,엔제리너스
전라북도 군산시 공단대로 599,군산소룡DT점,엔제리너스
전라북도 군산시 수송6길 3,군산신시가지점,엔제리너스
전라북도 군산시 조촌로 111,군산조촌점,엔제리너스
전라북도 군산시 백토로 284-35,군산은파유원지DI점,엔제리너스
충청북도 청주시 흥덕구 풍산로 18 터미널타워,청주터미널점,엔제리너스
경기도 동두천시 지행로 55 크라운732,동두천지행역점,엔제리너스
대전광역시 유성구 은구비남 33번길 13-38 웰컴빌딩 1층 엔젤리너스 ,대전노은점,엔제리너스
대전광역시 유성구 유성대로1184번길 11-9,대전신성점,엔제리너스
충청북도 청주시 흥덕구 청남로 2010 ,청주분평점,엔제리너스
대전광역시 서구 둔지로 32,대전둔산점,엔제리너스
전라북도 익산시 미륵사지로 477,익산미륵산점,엔제리너스
대전광역시 서구 둔산로 26,대전둔산로점,엔제리너스
대전광역시 서구 대덕대로161번길 5,대전갈마점,엔제리너스
대전광역시 서구 둔산동 925,대전청사점,엔제리너스
대전광역시 서구 둔산로 130 대덕프라자,대전시청점,엔제리너스
전라북도 익산시 무왕로11길 6-3,익산영등점,엔제리너스
대전광역시 중구 태평로26번길 8,대전태평점,엔제리너스
경기도 여주군 여주읍 명품1로 22-2 (상거동) ,여주375아울렛점,엔제리너스
대전광역시 동구 동서대로1695번길 30 대전복합터미널(동관),대전복합터미널동관점,엔제리너스
대전광역시 동구 동서대로 1689 대전복합터미널(서관),대전복합터미널서관점,엔제리너스
대전광역시 중구 선화서로 3,대전성모오거리점,엔제리너스
대전광역시 동구 은어송로 46,대전가오점,엔제리너스
전라북도 완주군 과학로 1025,완주봉동점,엔제리너스
충청북도 옥천군 삼양로 89,충북옥천점,엔제리너스
전라북도 전주시 덕진구 인후동2가 1529-1,전주백제로점,엔제리너스
전라북도 전주시 완산구 용리로 46,전주삼천점,엔제리너스
충청북도 충주시 칠금12길 5,충주칠금점,엔제리너스
충청북도 충주시 성서7길 30,충주성서점,엔제리너스
충청북도 충주시 갱고개로 147,충주연수점,엔제리너스
충청북도 괴산군 장연면 293-2,괴산휴게소(상)점,엔제리너스
강원도 원주시 서원대로 422,원주단구점,엔제리너스
강원도 춘천시 서부대성로 229,춘천강원대점,엔제리너스
전라남도 영광군읍 옥당로 ,영광점,엔제리너스
경상북도 문경시 당교로 230-1(문경시청) 엔제리너스(문경시청점) ,문경시청점,엔제리너스
충청 단양군 단성면 북상하리길 5-8 ,단양휴게소(하)점,엔제리너스
경상북도 김천시 교동 740-1,김천교동점,엔제리너스
광주광역시 광산구 첨단중앙로 158,광주첨단점,엔제리너스
광주광역시 광산구 왕버들로 265,광주신창점,엔제리너스
광주광역시 광산구 장신로 98 롯데마트,롯데아울렛광주수완점,엔제리너스
광주광역시 광산구 임방울대로 338,광주수완점,엔제리너스
광주광역시 광산구 사암로383번길 6,광주흑석점,엔제리너스
광주광역시 광산구 하남대로 ,광주동림DT점,엔제리너스
전라남도 남원시 용성로 222,남원도통,엔제리너스
경상북도 구미시 옥성면 중부내륙고속도로 129 ,선산휴게소 하점,엔제리너스
광주광역시 북구 북문대로187번길 2,광주운암DT점,엔제리너스
광주광역시 광산구 풍영철길로 15 콜럼버스월드,광주하남점,엔제리너스
광주광역시 북구 용봉동 476-1,광주오치점,엔제리너스
광주광역시 광산구 어등대로 416 1층 ,호남대점,엔제리너스
광주광역시 북구 용봉택지로 80,광주용봉점,엔제리너스
광주광역시 서구 무진대로 904 유스퀘어(광천터미널),광주터미널점,엔제리너스
광주광역시 서구 무진대로 933,광주광천DT점,엔제리너스
전라남도 곡성군 겸면 가정리 347 50 곡성(상)휴게소,곡성휴게소상점,엔제리너스
광주광역시 서구 상무대로 778,상무DT점,엔제리너스
광주광역시 서구 화정동 178-48,광주농성DI점,엔제리너스
광주광역시 동구 독립로 268 롯데백화점,롯데시네광주점,엔제리너스
광주광역시 서구 풍금로 157,광주금호점,엔제리너스
광주광역시 동구 금남로 245,하나은행전일빌딩점,엔제리너스
광주광역시 서구 금화로 240 월드컵경기장,롯데아울렛광주월드컵점,엔제리너스
광주광역시 동구 서석동 359-1 1층,조선대국제관점,엔제리너스
광주광역시 동구 필문대로 309 조선대학교,조선대입석홀점,엔제리너스
광주광역시 동구 필문대로 365 조선대학교병원,조선대병원점,엔제리너스
