브랜드명,shopName,address
폴바셋,대전엑스포 스카이점(with 피자 일뽀르노),대전광역시 유성구 엑스포로 1 39F
폴바셋,갤러리아 타임월드점,대전광역시 서구 대덕대로 211 갤러리아 타임월드 11층
폴바셋,롯데백화점 대전점,대전광역시 서구 계룡로 598롯데백화점 대전점 1층
폴바셋,전주 금암DT점,전주시 덕진구 금암동 711-3
폴바셋,롯데백화점 전주점,전주시 완산구 온고을로2 롯데백화점 전주점 1층
폴바셋,전주 혁신도시점,전주시 덕진구 장동 1111 디엠씨티1층
폴바셋,롯데백화점 대구점,대구광역시 북구 칠성동 2가 302-155 롯데백화점 대구점 지하 2층
폴바셋,더현대 대구점,대구 중구 달구벌대로 2077 더현대 대구점 지하1층 
폴바셋,대구 신세계백화점 1호점,대구시 동구 동부로 149 대구 신세계백화점 본관 지하 1층
폴바셋,대구 신세계백화점 2호점,대구시 동구 효신로 88 대구 신세계백화점 별관 6층
폴바셋,대구 만촌 DT점,대구광역시 수성구 만촌동 435-3
폴바셋,경산 임당역 DT점,경상북도 경산시 중방동 35-5 폴 바셋
폴바셋,롯데아울렛 광주수완점,광주광역시 광산구 장신로 98 롯데아울렛 수완점 1층
폴바셋,신세계백화점 광주점,광주광역시 서구 무진대로 932 신세계백화점 광주점 지하 1층
폴바셋,롯데백화점 광주점,광주광역시 동구 독립로 268 롯데백화점 광주점
폴바셋,마산 해안대로DT점,창원시 마산합포구 중앙동3가 4-281
폴바셋,롯데백화점 창원점,경남 창원시 성산구 상남로 121 롯데백화점 창원점 영프라자 지하 1층
폴바셋,현대백화점 울산점,울산광역시 남구 삼산로 261 현대백화점 울산점 1층
폴바셋,롯데아울렛 김해점,경상남도 김해시 장유로 469 롯데아울렛 신관 1층
폴바셋,롯데백화점 부산본점,부산시 부산진구 가야대로 772롯데백화점 부산본점 지하2층
폴바셋,신세계 센텀시티몰점,부산광역시 해운대구 센텀 4로 15(신세계 센텀시티몰점) 지하 2층 
폴바셋,신세계백화점 센텀시티점,부산광역시 해운대구 센텀남대로 35 신세계센텀시티 9층
폴바셋,해운대 아이파크점(with 피자 일뽀르노),"부산시 해운대구 우동 1408번지 아이파크 T1동 104호,105호 "
폴바셋,롯데몰 동부산점,부산시 기장군 기장읍 기장해안로 147 롯데몰 동부산점 1층 F&B 코너
폴바셋,롯데백화점 광복점 ,부산광역시 중구 중앙대로 2 롯데백화점 광복점 B1
폴바셋,제주 용담DT점(with 피자 일뽀르노),제주특별자치도 제주시 서해안로 442-1
폴바셋,제주 아라DT점(with 피자 일뽀르노),제주시 아라이동 2436 폴 바셋
