지역,매장명,브랜드명
충청북도 옥천군 삼양로 89,충남태안점,엔제리너스
전라북도 전주시 덕진구 인후동2가 1529-1,충남태안점,엔제리너스
전라북도 전주시 완산구 용리로 46,충남태안점,엔제리너스
충청북도 충주시 칠금12길 5,충남태안점,엔제리너스
충청북도 충주시 성서7길 30,충남태안점,엔제리너스
충청북도 충주시 갱고개로 147,충남태안점,엔제리너스
충청북도 괴산군 장연면 293-2,충남태안점,엔제리너스
강원도 원주시 서원대로 422,충남태안점,엔제리너스
강원도 춘천시 서부대성로 229,충남태안점,엔제리너스
전라남도 영광군읍 옥당로 ,충남태안점,엔제리너스
경상북도 문경시 당교로 230-1(문경시청) 엔제리너스(문경시청점) ,충남태안점,엔제리너스
충청 단양군 단성면 북상하리길 5-8 ,충남태안점,엔제리너스
경상북도 김천시 교동 740-1,충남태안점,엔제리너스
광주광역시 광산구 첨단중앙로 158,충남태안점,엔제리너스
광주광역시 광산구 왕버들로 265,충남태안점,엔제리너스
광주광역시 광산구 장신로 98 롯데마트,충남태안점,엔제리너스
광주광역시 광산구 임방울대로 338,충남태안점,엔제리너스
광주광역시 광산구 사암로383번길 6,충남태안점,엔제리너스
광주광역시 광산구 하남대로 ,충남태안점,엔제리너스
전라남도 남원시 용성로 222,충남태안점,엔제리너스
경상북도 구미시 옥성면 중부내륙고속도로 129 ,충남태안점,엔제리너스
광주광역시 북구 북문대로187번길 2,충남태안점,엔제리너스
광주광역시 광산구 풍영철길로 15 콜럼버스월드,충남태안점,엔제리너스
광주광역시 북구 용봉동 476-1,충남태안점,엔제리너스
광주광역시 광산구 어등대로 416 1층 ,충남태안점,엔제리너스
광주광역시 북구 용봉택지로 80,충남태안점,엔제리너스
광주광역시 서구 무진대로 904 유스퀘어(광천터미널),충남태안점,엔제리너스
광주광역시 서구 무진대로 933,충남태안점,엔제리너스
전라남도 곡성군 겸면 가정리 347 50 곡성(상)휴게소,충남태안점,엔제리너스
광주광역시 서구 상무대로 778,충남태안점,엔제리너스
광주광역시 서구 화정동 178-48,충남태안점,엔제리너스
광주광역시 동구 독립로 268 롯데백화점,충남태안점,엔제리너스
광주광역시 서구 풍금로 157,충남태안점,엔제리너스
광주광역시 동구 금남로 245,충남태안점,엔제리너스
광주광역시 서구 금화로 240 월드컵경기장,충남태안점,엔제리너스
광주광역시 동구 서석동 359-1 1층,충남태안점,엔제리너스
광주광역시 동구 필문대로 309 조선대학교,충남태안점,엔제리너스
광주광역시 동구 필문대로 365 조선대학교병원,충남태안점,엔제리너스
광주광역시 남구 봉선로 152,충남태안점,엔제리너스
광주광역시 동구 증심사길 25,충남태안점,엔제리너스
광주광역시 남구 효우로 170-1 엔젤빌딩,충남태안점,엔제리너스
강원도 인제군 상남면 하남리 371 ,충남태안점,엔제리너스
경상북도 의성군 새못안길 45-49,충남태안점,엔제리너스
경상북도 의성군 안계면 양곡리 산103-4,충남태안점,엔제리너스
경상북도 칠곡군 북삼읍 금오대로 225 1층 ,충남태안점,엔제리너스
"경상북도 구미시 연동 32길 21 1,2층 ",충남태안점,엔제리너스
경상북도 안동시 광명로 175,충남태안점,엔제리너스
전라남도 목포시 후광대로 110 ,충남태안점,엔제리너스
전라남도 목포시 옥암로 82,충남태안점,엔제리너스
전라남도 무안군 남악로162번길 80,충남태안점,엔제리너스
전라남도 목포시 평화로 86,충남태안점,엔제리너스
경상북도 의성군 의성읍 군청길 9 102호 ,충남태안점,엔제리너스
경상북도 칠곡군 동명면 중앙고속도로 123 동명휴게소 부산방향 ,충남태안점,엔제리너스
경상북도 칠곡군 동명면 중앙고속도로 122 동명휴게소 ,충남태안점,엔제리너스
대구광역시 달성군 광주대구고속도로 170,충남태안점,엔제리너스
대구광역시 달성군 논공읍 광주대고고속도로 169 ,충남태안점,엔제리너스
대구광역시 달서구 계대동문로 2,충남태안점,엔제리너스
대구광역시 달서구 달구벌대로 1706,충남태안점,엔제리너스
대구광역시 서구 북비산로 36,충남태안점,엔제리너스
대구광역시 서구 달구벌대로 1813,충남태안점,엔제리너스
대구광역시 북구 옥산로17길 14 칠성동 리치프라자 112호,충남태안점,엔제리너스
대구광역시 북구 침산로 162,충남태안점,엔제리너스
대구광역시 북구 유통단지로 80,충남태안점,엔제리너스
대구광역시 북구 태평로 161 롯데백화점 대구역,충남태안점,엔제리너스
대구광역시 중구 동성로6길 31,충남태안점,엔제리너스
대구광역시 달서구 월곡로 8,충남태안점,엔제리너스
강원도 속초시 동해대로 3988 속초고속버스터미널,충남태안점,엔제리너스
대구광역시 동구 팔공로49길 16,충남태안점,엔제리너스
전라남도 순천시 연향번영길 143 엔제리너스 커피 순천 연향점,충남태안점,엔제리너스
대구광역시 동구 공항로 221 공항內 국제선 ,충남태안점,엔제리너스
대구광역시 동구 공항로 221 대구국제공항,충남태안점,엔제리너스
대구광역시 동구 공항로 221 빌라드샬롯카페(대구공항점) ,충남태안점,엔제리너스
대구광역시 동구 공항로 221 공항內 서편 ,충남태안점,엔제리너스
전라남도 순천시 충효로 15 메가박스,충남태안점,엔제리너스
대구광역시 동구 동부로30길 1,충남태안점,엔제리너스
대구광역시 수성구 수성로 233,충남태안점,엔제리너스
대구광역시 수성구 수성로 140-1,충남태안점,엔제리너스
대구광역시 동구 효동로6길 30,충남태안점,엔제리너스
경상남도 진주시 강남로201번길 1,충남태안점,엔제리너스
경상남도 의령군 의병로16길 24-1,충남태안점,엔제리너스
전라남도 광양시 중마중앙로 11,충남태안점,엔제리너스
경상남도 진주시 금산순환로587번길 117,충남태안점,엔제리너스
경상남도 진주시 동진로 440  롯데아울렛진주점 1층 (충무공동 35),충남태안점,엔제리너스
경상남도 진주시 영천강로 167,충남태안점,엔제리너스
경상북도 경산시 평사1길 77-60,충남태안점,엔제리너스
경상남도 함안군 함마대로 1494,충남태안점,엔제리너스
전라남도 여수시 선소로 17,충남태안점,엔제리너스
경상남도 사천시 주공로 30,충남태안점,엔제리너스
경상북도 울진군 울진읍 현내항길 7,충남태안점,엔제리너스
경상북도 경주시 건천읍 경부고속도로 77,충남태안점,엔제리너스
경상남도 창원시 마산합포구 현동7길 28,충남태안점,엔제리너스
경상북도 울진군후포면 울진대게로 34-4,충남태안점,엔제리너스
경상남도 창원시 성산구 용지로113번길 23,충남태안점,엔제리너스
경상남도 창원시 성산구 중앙대로 124 롯데백화점,충남태안점,엔제리너스
경상북도 경주시 산업로 4506,충남태안점,엔제리너스
경상남도 창원시 성산구 삼정자로72번길  33,충남태안점,엔제리너스
경상북도 포항시 남구 포스코대로 123,충남태안점,엔제리너스
경상북도 포항시 남구 효자동 605-4,충남태안점,엔제리너스
경상북도 포항시 북구 두호동 722,충남태안점,엔제리너스
경상남도 김해시 대청계곡길 195-101,충남태안점,엔제리너스
경상남도 김해시 능동로149번길 9,충남태안점,엔제리너스
울산광역시 울주군 언양읍 반곡리 966-15 (언동3길 20-48 엔제리너스),충남태안점,엔제리너스
경상남도 김해시 번화1로84번길 8,충남태안점,엔제리너스
울산광역시 울주군 봉화로 10,충남태안점,엔제리너스
경상남도 김해시 장유로 469 롯데아울렛,충남태안점,엔제리너스
경상남도 김해시 봉황동 49-18,충남태안점,엔제리너스
경상남도 김해시 부원동 939 (부원역세권지구 A-1블럭 아이스퀘어 1~2층 ),충남태안점,엔제리너스
경상남도 통영시 산양일주로 315 유성갈비,충남태안점,엔제리너스
울산광역시 울주근 범서읍 울밀로 2848-3 ,충남태안점,엔제리너스
