지역,매장명,현황,주소,브랜드명
부산 중구,부산BIFF광장점,영업중,"부산 중구 비프광장로 31-1, 1층 .",할리스
부산 동구,부산역사점,영업중,"부산광역시 동구 중앙대로 206 (초량동, 한국철도공사부산지역본부) 2충 초량동 1187-1",할리스
광주 북구,광주일곡점,영업중,광주광역시 북구 송해로 81 일곡동 821-5 1~3층,할리스
경기 양주시,양주점,영업중,경기도 양주시 평화로 1407 (덕계동) .,할리스
충남 당진시,당진푸르지오점,영업중,충청남도 당진시 읍내동 1590 1층 희은빌라 .,할리스
대전 유성구,대전전민점,영업중,대전광역시 유성구 전민로22번길 62 전민동 306-1,할리스
강원 홍천군,홍천점,영업중,강원도 홍천군 홍천읍 꽃뫼로 98 .,할리스
전남 목포시,목포하당점,영업중,전라남도 목포시 비파로51번길 37 (상동) .,할리스
경북 김천시,김천혁신도시점,영업중,경상북도 김천시 혁신로 246 .,할리스
대구 서구,대구팔달교DT점,영업중,대구광역시 서구 팔달로 34 .,할리스
경기 남양주시,별내카페거리점,영업중,경기도 남양주시 두물로39번길 33 (별내동) .,할리스
경기 파주시,파주탄현점,영업중,"경기도 파주시 탄현면 방촌로 1017 1,2층",할리스
경기 안성시,(상)안성휴게소점,영업중,경기도 안성시 원곡면 산하리 67-3 000,할리스
광주 광산구,광주우산점,영업중,광주광역시 광산구 풍영철길로 12 (우산동) 1층,할리스
전북 군산시,군산수송점,영업중,"전라북도 군산시 수송북로 22 수송동 831-1,1층",할리스
경기 화성시,동탄호수공원점,영업중,경기도 화성시 동탄면 동탄순환대로5길 15 .,할리스
경기 수원시,수원인계점,영업중,경기도 수원시 팔달구 인계로138번길 49 (인계동) 인계동 1038-12,할리스
인천 중구,영종하늘도시점,영업중,"인천 중구 하늘달빛로 90-21 1,2층 중산동 1876-9",할리스
서울 서대문구,서대문역점,영업중,서울특별시 서대문구 통일로9안길 28 (충정로2가) 1층,할리스
부산 동구,동부산우체국점,영업중,"부산광역시 동구 조방로 15, 1층 .",할리스
경기 안산시 단원구,안산로데오점,영업중,경기도 안산시 단원구 중앙대로 907 .,할리스
경기 안성시,안성팜랜드점,영업중,"경기도 안성시 공도읍 대신두길 28, 안성팜랜드 .",할리스
경남 양산시,양산원동점,영업중,경상남도 양산시 원동면 원동로 1429 .,할리스
광주 서구,광주금호점,영업중,광주광역시 서구 운천로 3 (금호동 762-6) 1층,할리스
인천 서구,인천엠파크허브점,영업중,"인천광역시 서구 염곡로 52, 엠파크 허브동 103호 (가좌동 150-19) .",할리스
대구 달서구,대구본리점,영업중,대구광역시 달서구 장기로 203 (본리동 62-16) .,할리스
대구 달서구,대구월성CGV점,영업중,"대구광역시 달서구 조암로 29 이래타워 4F 월성동, 616",할리스
부산 강서구,명지국제신도시점,영업중,부산광역시 강서구 명지국제11로 57 명지동 3334-4,할리스
광주 서구,유스퀘어CGV점,영업중,"광주광역시 서구 무진대로 904, 유스퀘어 2층 (광천동, 49-1) .",할리스
광주 북구,광주오치점,영업중,광주광역시 북구 서하로 185 (오치동 862-21) 1층,할리스
광주 광산구,광주운남점,영업중,광주광역시 광산구 하남대로 248-13 (운남동 771-3 ) 1층,할리스
전북 익산시,익산어양점,영업중,"전라북도 익산시 동서로63길 4, 101호 (어양동, 하모니시티) 1층",할리스
전북 전주시 덕진구,전주백제대로점,영업중,전라북도 전주시 덕진구 백제대로 592 (금암동) 1층,할리스
경기 의정부시,의정부민락점,영업중,"경기도 의정부시 오목로205번길 55 (민락동, 메가타워) .",할리스
충남 천안시 동남구,동천안우체국점,영업중,"충청남도 천안시 동남구 청수5로 10, 1층 .",할리스
경남 사천시,(상)사천휴게소점,영업중,경상남도 사천시 곤양면 묵실길 31-11 (순천방향) .,할리스
경남 사천시,(하)사천휴게소점,영업중,경상남도 사천시 곤양면 서삼로 619 (부산방향) .,할리스
전북 전주시 완산구,전북도청점,영업중,"전라북도 전주시 완산구 홍산남로 51, 102~103호 일부(효자동3가) 1층",할리스
전북 부안군,전북부안점,영업중,"전라북도 부안군 부안읍 석정로 269, 1층 .",할리스
서울 성동구,한양대시티빌점,영업중,서울특별시 성동구 마조로1가길 9 (행당동) .,할리스
강원 동해시,동해촛대바위점,영업중,강원도 동해시 촛대바위길 16 (추암동 1-6) .,할리스
경북 경산시,경산중방점,영업중,"경상북도 경산시 경안로 205, 2층 .",할리스
