지역,매장명,현황,주소,브랜드명
서울 송파구,교통회관점,영업중,"서울특별시 송파구 올림픽로 319 (신천동, 새마을 교통회관) 1층",할리스
서울 강남구,역삼스타점,영업중,"서울특별시 강남구 테헤란로26길 12, 1층 (역삼동 736-56) 할리스",할리스
부산 남구,부산경성대2호점,영업중,"부산광역시 남구 수영로 306, 3층 (대연동 72-1) 할리스",할리스
서울 강서구,김포공항점,영업중,서울특별시 강서구 하늘길 112 김포공항 국내선청사 1층,할리스
서울 영등포구,여의도하나투자점,영업중,서울특별시 영등포구 의사당대로 82 1층 할리스,할리스
서울 은평구,구산역점,영업중,서울특별시 은평구 연서로 135 (구산동 1-7) 할리스,할리스
부산 해운대구,부산송정점,영업중,부산광역시 해운대구 송정광어골로 77 (송정동 443-5) 할리스,할리스
서울 광진구,광나루역점,영업중,"서울특별시 광진구 천호대로 808, 광장현대홈타운 제1202동 상가 1층 (광장동 580) 할리스",할리스
부산 수영구,부산광안대교점,영업중,"부산광역시 수영구 광안해변로 217, 호메르스관광호텔 1층 (광안동 93-1) 할리스",할리스
광주 북구,광주전남대점,영업중,광주광역시 북구 우치로 90(용봉동) 할리스,할리스
대전 유성구,대전도안DT점,영업중,"대전광역시 유성구 도안동로 488,1-3층 할리스",할리스
서울 강남구,세로수길점,영업중,서울특별시 강남구 강남대로152길 41 (신사동 536-6) 할리스,할리스
서울 양천구,목동점,영업중,"서울특별시 양천구 목동서로 159-1 CBS 1,2층 CBS 1,2층 할리스",할리스
광주 서구,광주아울렛점,영업중,광주광역시 서구 상무대로 633,할리스
울산 남구,울산디자인거리점,영업중,울산광역시 남구 돋질로302번길 38 (삼산동 1575-22) 할리스,할리스
경기 성남시 분당구,분당율동공원점,영업중,경기도 성남시 분당구 문정로 140 (율동) 할리스,할리스
서울 영등포구,당산역점,영업중,서울특별시 영등포구 당산로 219,할리스
서울 중구,무교점,영업중,"서울특별시 중구 무교로 28, 시그너스빌딩 1층 (무교동 7번지)",할리스
